Wind Direction,Wind str/spd,Temperature,Light,Humidity,Speed,Strength,Lightning,Wind,Water,Fire,Sum,Position
"7,87","8,10","1,27","1,37","2,91","1,28","8,36","3,63","7,71","7,51","5,67","34,16","2,00"
"1,89","1,65","0,11","1,92","8,30","6,80","2,89","7,88","6,29","4,90","4,97","33,73","2,00"
"8,24","8,96","1,92","1,44","2,74","6,44","4,97","2,11","5,56","2,18","4,91","26,17","2,00"
"0,39","0,17","0,22","7,94","1,02","8,95","2,72","7,32","8,55","0,68","0,00","28,22","2,00"
"2,25","0,09","2,36","1,85","8,24","3,40","3,26","0,49","2,20","4,58","5,66","19,59","2,00"
"0,83","0,72","0,84","7,51","0,29","1,23","3,82","8,24","3,70","2,39","5,45","24,83","2,00"
"2,47","0,94","1,73","0,72","8,22","0,96","6,41","5,43","8,85","4,58","4,36","30,59","2,00"
"1,80","0,07","0,16","1,26","8,03","6,68","5,53","6,26","7,49","1,35","6,58","33,89","2,00"
"0,64","1,78","8,04","1,37","1,65","8,04","3,16","3,23","0,68","7,90","2,65","25,66","2,00"
"1,88","2,25","8,42","2,32","1,15","4,77","6,91","5,76","1,15","0,59","3,19","22,37","2,00"
"8,00","8,53","1,19","0,29","2,06","7,39","4,27","4,11","7,42","8,64","0,89","32,72","2,00"
"1,47","2,00","2,18","8,61","1,34","6,40","8,21","6,20","3,70","0,56","2,67","27,74","2,00"
"7,67","7,89","0,30","0,27","0,55","6,30","4,67","0,87","3,57","4,54","2,89","22,84","2,00"
"0,57","0,17","1,89","8,68","1,18","5,57","2,15","4,90","1,77","3,93","8,73","27,05","2,00"
"1,82","1,42","7,54","1,56","0,45","8,41","7,58","8,55","8,65","6,38","3,01","42,58","2,00"
"8,10","8,69","0,58","0,60","2,58","7,94","6,43","2,33","2,91","0,22","1,14","20,97","2,00"
"1,65","0,66","8,63","1,72","2,16","6,19","0,30","8,44","0,19","0,03","6,25","21,40","2,00"
"2,46","0,01","8,08","1,96","2,38","0,81","8,18","7,80","0,75","5,68","4,48","27,70","2,00"
"0,01","0,76","1,38","1,64","8,78","8,81","0,54","5,43","1,64","2,22","3,82","22,46","2,00"
"1,66","2,14","2,22","8,55","1,22","0,67","7,74","8,47","8,46","0,25","3,66","29,25","2,00"
"2,11","1,78","8,76","1,27","1,00","4,38","8,04","7,56","7,82","3,31","7,47","38,58","2,00"
"0,66","0,69","0,67","8,25","1,92","7,81","6,38","1,59","2,04","3,57","2,31","23,70","2,00"
"1,55","1,84","1,53","0,04","7,97","6,11","3,70","8,54","6,92","4,56","4,09","33,92","2,00"
"1,72","1,48","2,73","8,12","1,81","5,36","6,18","6,32","2,53","6,16","2,27","28,82","2,00"
"0,66","2,19","1,29","8,36","0,30","3,08","7,97","6,59","1,24","3,97","5,38","28,23","2,00"
"0,09","2,67","1,03","1,43","8,79","4,12","4,16","3,08","4,92","3,00","1,72","21,00","2,00"
"8,72","7,79","0,19","0,37","0,36","5,28","1,73","2,83","8,44","2,86","5,21","26,35","2,00"
"0,50","2,38","8,03","0,49","0,94","2,81","4,38","5,75","6,27","3,85","5,95","29,01","2,00"
"0,18","1,82","7,75","0,56","2,28","8,61","2,19","2,88","7,62","2,98","3,68","27,96","2,00"
"0,44","2,32","7,70","1,31","1,44","5,96","6,54","8,34","3,87","7,23","1,45","33,39","2,00"
"1,23","2,34","1,94","0,35","8,55","8,32","7,52","1,36","7,53","5,10","8,68","38,51","2,00"
"2,35","1,95","2,18","2,06","8,20","2,44","3,41","5,20","7,80","4,88","8,67","32,40","2,00"
"1,52","1,52","2,98","8,42","0,36","1,52","2,74","8,53","6,73","8,37","1,94","29,83","2,00"
"8,70","8,03","1,38","0,81","0,31","3,30","3,91","0,11","5,47","5,85","1,67","20,31","2,00"
"0,62","1,53","8,56","1,10","0,34","0,76","7,65","3,46","6,05","0,92","8,44","27,28","2,00"
"1,87","1,74","8,77","1,93","2,46","6,67","8,58","3,75","4,77","4,37","5,47","33,61","2,00"
"8,10","7,75","2,11","0,44","2,22","8,15","5,89","2,45","7,04","0,01","3,46","27,00","2,00"
"1,23","0,70","8,97","0,79","2,17","2,10","5,66","2,42","3,94","8,66","0,98","23,76","2,00"
"8,45","8,56","2,40","0,65","0,33","6,02","1,74","2,92","5,10","0,06","3,84","19,68","2,00"
"2,28","1,49","1,57","9,00","1,25","6,78","2,47","5,41","0,67","2,33","0,97","18,63","2,00"
"1,64","1,79","0,54","1,93","7,87","2,52","3,94","3,74","5,82","4,17","7,43","27,62","2,00"
"0,50","0,97","7,76","2,24","2,40","3,91","6,95","1,94","0,53","0,73","7,24","21,30","2,00"
"1,56","0,94","1,69","0,58","7,53","0,76","5,83","1,47","6,51","5,94","7,51","28,02","2,00"
"7,93","8,01","1,15","0,51","0,93","0,59","6,34","0,54","6,56","3,63","4,91","22,57","2,00"
"0,82","1,00","0,71","0,17","8,18","4,98","4,25","1,26","7,38","3,52","6,85","28,24","2,00"
"1,62","0,42","0,94","0,17","7,66","8,49","6,68","7,93","4,85","0,34","3,26","31,55","2,00"
"0,31","1,72","7,97","2,80","0,12","3,62","1,70","8,46","6,06","8,26","6,22","34,32","2,00"
"1,23","0,52","7,62","1,72","1,45","2,58","8,89","1,48","6,72","4,08","2,76","26,51","2,00"
"8,24","8,09","1,31","2,10","0,75","6,74","8,83","6,41","7,54","5,75","1,35","36,62","2,00"
"7,96","8,92","0,96","1,36","1,78","6,47","8,02","1,25","5,02","6,19","0,66","27,61","2,00"
"1,55","1,67","0,27","0,75","7,63","4,35","0,23","3,63","3,44","2,26","7,94","21,85","2,00"
"2,35","1,38","1,60","7,91","0,19","4,27","5,06","6,00","7,17","3,26","4,79","30,55","2,00"
"0,68","1,98","8,14","2,55","0,16","0,99","2,96","7,22","7,82","7,75","6,28","33,02","2,00"
"0,94","1,08","2,51","8,56","0,56","0,63","8,49","7,85","0,08","6,54","8,23","31,82","2,00"
"1,48","0,92","7,74","1,68","0,28","6,72","2,05","7,30","2,06","5,33","7,68","31,14","2,00"
"0,96","2,05","1,39","8,70","0,67","3,01","1,93","4,26","8,70","1,91","0,94","20,75","2,00"
"8,06","8,80","1,80","2,01","0,41","5,06","7,45","0,99","2,83","5,87","4,58","26,78","2,00"
"8,07","7,92","0,18","2,00","0,57","2,17","6,19","1,96","3,62","3,87","1,45","19,26","2,00"
"0,07","2,30","8,49","0,64","2,50","3,72","6,04","1,23","0,40","9,00","8,42","28,81","2,00"
"7,74","7,97","2,07","1,91","1,59","3,33","8,24","4,68","2,52","5,30","7,13","31,20","2,00"
"0,78","2,19","0,40","2,23","7,65","0,96","6,00","4,85","4,55","4,08","6,11","26,55","2,00"
"0,66","0,06","8,44","0,18","2,35","7,23","8,94","2,27","4,98","2,74","4,66","30,82","2,00"
"0,39","1,71","1,26","8,72","2,20","1,17","3,12","5,32","8,89","4,74","2,83","26,07","2,00"
"0,66","0,98","1,11","8,40","0,66","5,84","2,98","6,11","6,44","5,51","1,84","28,72","2,00"
"0,03","2,92","1,42","2,41","8,93","0,32","5,95","0,96","4,15","1,37","7,70","20,45","2,00"
"0,87","1,85","0,39","1,70","8,90","1,05","1,30","2,11","8,84","3,87","5,93","23,10","2,00"
"2,84","2,47","0,40","1,35","7,61","4,31","1,83","2,96","8,00","1,08","5,13","23,31","2,00"
"0,17","2,00","2,68","8,95","0,59","8,94","6,16","2,63","0,41","5,87","0,69","24,70","2,00"
"1,85","1,87","2,92","7,52","0,64","7,58","3,93","8,23","8,63","3,66","7,07","39,10","2,00"
"1,52","0,41","8,74","1,69","0,37","2,64","5,89","2,87","1,36","4,36","8,58","25,70","2,00"
"7,75","8,44","0,52","2,27","2,98","2,23","5,85","3,00","2,26","8,00","4,70","26,04","2,00"
"1,06","1,52","8,56","0,38","0,70","1,50","2,38","7,18","1,41","7,71","7,94","28,12","2,00"
"0,05","1,91","2,96","8,12","1,10","1,78","7,07","8,34","5,47","0,74","8,19","31,59","2,00"
"2,25","0,16","0,39","8,40","0,83","5,79","1,40","8,59","4,25","6,21","3,47","29,71","2,00"
"1,96","2,96","0,68","2,22","8,47","8,81","0,69","3,48","0,01","5,69","6,64","25,32","2,00"
"1,39","0,97","7,70","0,44","0,03","6,70","0,28","4,33","6,45","7,29","2,48","27,53","2,00"
"1,66","2,18","0,05","0,67","7,61","3,96","8,44","2,58","5,34","3,62","4,31","28,25","2,00"
"2,04","2,29","1,92","1,16","8,51","1,48","3,13","6,00","2,97","1,43","7,87","22,88","2,00"
"1,61","0,88","8,82","1,14","2,00","0,19","7,06","0,96","1,79","2,16","6,38","18,54","2,00"
"1,33","1,94","1,87","8,11","1,23","2,27","8,36","8,70","3,27","8,23","7,86","38,69","2,00"
"0,55","2,30","0,99","1,44","8,70","3,28","4,73","1,42","8,82","4,86","8,37","31,48","2,00"
"8,83","8,20","0,69","0,84","2,29","4,18","5,20","2,09","8,55","0,82","6,86","27,70","2,00"
"8,81","7,94","0,94","0,15","1,37","5,66","8,52","3,46","0,89","2,47","0,32","21,32","2,00"
"2,37","0,88","2,24","8,42","2,06","6,20","8,95","1,98","3,00","1,99","4,48","26,60","2,00"
"0,06","0,96","7,51","0,31","0,42","2,07","4,04","6,31","0,38","5,92","6,54","25,26","2,00"
"0,23","0,39","1,56","8,82","1,20","2,63","0,98","6,45","3,87","4,24","1,83","20,00","2,00"
"8,02","8,84","1,99","1,76","1,90","3,44","1,87","1,67","1,14","1,47","3,22","12,81","2,00"
"0,21","0,91","8,12","0,73","2,28","8,83","1,79","7,87","7,77","1,70","1,93","29,89","2,00"
"0,42","1,29","8,89","1,80","2,15","3,26","3,64","6,74","7,88","6,44","5,09","33,05","2,00"
"0,29","2,00","8,98","0,10","2,28","4,55","5,44","5,14","3,67","8,89","5,47","33,16","2,00"
"0,61","0,99","0,75","2,28","7,63","6,60","0,33","2,32","2,94","3,70","7,27","23,16","2,00"
"1,03","1,57","8,99","2,49","2,22","1,07","7,14","1,70","8,78","6,84","8,31","33,84","2,00"
"1,43","0,00","7,75","0,79","1,24","0,90","7,23","2,07","4,00","2,42","8,89","25,51","2,00"
"1,11","2,07","8,72","0,07","2,47","7,34","0,27","6,59","6,66","5,85","2,30","29,01","2,00"
"0,61","1,46","8,41","1,71","1,42","6,51","4,01","3,81","3,36","8,46","3,72","29,87","2,00"
"7,55","8,06","1,69","0,99","0,22","3,36","2,29","5,79","0,63","0,96","7,47","20,50","2,00"
"0,24","2,69","0,42","1,03","8,25","3,16","2,49","2,92","7,85","5,84","1,80","24,06","2,00"
"8,32","8,73","0,22","0,24","0,81","2,74","0,77","0,50","3,13","2,32","5,29","14,75","2,00"
"1,22","0,04","0,22","1,05","7,72","7,46","7,85","1,03","3,10","2,75","8,61","30,80","2,00"
"2,16","0,58","8,33","2,81","1,43","3,11","4,15","5,03","0,66","7,86","4,18","24,99","2,00"
"0,68","1,61","0,50","1,88","8,48","6,05","3,16","1,58","3,49","3,78","7,93","25,99","2,00"
"0,77","1,86","7,51","0,59","0,52","8,15","8,64","2,97","1,49","6,11","7,13","34,49","2,00"
"0,99","0,53","0,46","2,48","8,81","2,85","7,40","2,11","6,45","1,83","6,91","27,55","2,00"
"0,45","2,97","1,20","2,24","8,33","1,69","2,44","2,65","4,39","1,75","7,91","20,83","2,00"
"1,49","0,16","0,35","8,47","1,85","5,45","3,48","8,23","5,61","2,75","8,09","33,61","2,00"
"8,96","8,84","1,29","0,34","0,96","5,79","8,54","2,44","7,77","3,38","6,87","34,79","2,00"
"1,03","0,29","0,91","8,27","0,91","8,86","7,77","2,96","1,33","2,28","3,88","27,08","2,00"
"7,82","8,70","0,95","0,10","0,33","7,84","7,37","2,58","2,60","0,17","8,78","29,34","2,00"
"2,43","0,75","1,51","1,54","8,05","6,02","0,34","5,83","1,97","3,98","1,48","19,62","2,00"
"0,38","1,45","7,54","1,27","2,00","2,20","5,57","4,61","1,73","6,35","8,69","29,15","2,00"
"0,48","1,09","0,95","8,69","1,44","5,06","6,19","4,82","3,36","4,20","0,88","24,51","2,00"
"1,67","1,00","1,91","8,10","1,88","1,39","0,72","8,33","3,01","1,51","8,24","23,20","2,00"
"8,57","8,37","2,10","1,77","2,29","0,67","1,78","0,73","5,67","2,82","4,45","16,12","2,00"
"1,99","2,07","1,09","1,18","7,67","1,50","6,41","4,67","6,21","4,41","1,58","24,78","2,00"
"2,01","1,65","0,86","8,79","0,91","4,23","0,19","5,66","7,21","8,36","8,29","33,94","2,00"
"0,67","1,26","0,05","8,39","1,48","6,82","3,76","5,50","8,58","1,08","0,20","25,94","2,00"
"7,94","7,60","1,86","0,78","0,63","4,09","6,86","2,04","5,23","7,15","7,74","33,11","2,00"
"0,10","1,32","8,60","0,79","0,07","4,22","8,81","5,23","5,64","2,48","1,66","28,04","2,00"
"7,53","7,61","2,14","0,17","1,59","1,12","7,99","2,42","2,95","7,83","0,76","23,07","2,00"
"0,73","2,99","2,14","0,77","8,00","3,24","0,41","3,21","7,56","4,63","7,80","26,85","2,00"
"8,28","8,33","0,40","1,25","1,11","7,22","8,97","5,35","0,73","4,16","2,69","29,12","2,00"
"8,44","8,89","1,98","2,25","1,39","8,62","3,27","4,43","6,63","1,25","8,91","33,11","2,00"
"1,84","1,74","8,24","2,58","1,74","2,28","2,89","4,51","0,13","4,77","6,93","21,51","2,00"
"1,46","0,66","0,28","8,21","0,98","3,17","3,91","8,67","1,91","2,87","4,54","25,07","2,00"
"1,66","1,67","7,64","0,06","2,17","0,49","2,13","0,82","2,47","4,55","8,05","18,51","2,00"
"0,52","1,64","9,00","0,61","0,49","1,40","8,18","8,00","2,10","0,34","5,50","25,52","2,00"
"0,20","2,45","1,12","0,55","7,57","5,57","8,31","2,08","8,56","2,99","0,38","27,89","2,00"
"2,12","1,01","0,52","8,36","1,42","3,39","7,04","3,08","1,23","3,83","4,75","23,32","2,00"
"1,16","2,40","1,11","7,95","0,74","1,41","0,96","0,81","3,94","2,22","6,15","15,49","2,00"
"0,50","1,11","8,12","0,44","0,56","6,15","7,88","2,00","5,70","0,65","3,62","26,00","2,00"
"8,63","8,05","0,77","1,03","2,18","1,67","1,64","2,12","3,07","7,17","8,45","24,12","2,00"
"1,56","1,14","2,24","7,86","1,78","4,03","0,59","6,72","7,68","5,92","8,83","33,77","2,00"
"1,85","2,85","1,06","0,67","8,42","2,31","3,86","4,18","1,38","2,52","8,21","22,46","2,00"
"8,59","8,42","1,22","2,42","0,52","2,55","7,38","0,63","7,52","7,58","0,57","26,23","2,00"
"0,04","1,19","8,58","2,61","0,77","6,24","2,53","8,29","6,96","6,40","8,94","39,36","2,00"
"0,10","1,52","7,63","2,02","0,66","2,38","8,58","0,96","2,15","3,33","8,16","25,56","2,00"
"2,05","1,14","0,84","8,17","0,27","8,73","3,66","5,96","3,43","2,75","3,36","27,89","2,00"
"0,91","2,28","8,43","1,27","1,06","8,35","4,23","2,90","5,91","1,53","1,33","24,25","2,00"
"1,90","0,64","0,25","8,03","1,57","1,71","3,61","6,74","0,59","7,64","3,20","23,49","2,00"
"8,05","8,95","0,83","1,45","0,58","5,19","4,90","2,55","4,90","6,48","4,28","28,30","2,00"
"2,47","0,09","0,48","1,88","8,17","8,74","1,68","2,59","2,36","3,69","7,24","26,30","2,00"
"8,55","8,99","0,21","2,46","0,33","7,56","3,58","2,07","7,96","1,06","6,64","28,87","2,00"
"1,95","1,96","7,96","1,92","0,71","4,80","1,93","7,98","5,14","3,16","4,55","27,56","2,00"
"1,41","1,49","1,64","0,24","8,56","3,76","8,97","2,22","1,80","7,83","6,91","31,49","2,00"
"0,95","1,36","7,53","1,93","0,21","7,32","2,92","8,61","3,97","5,12","4,52","32,46","2,00"
"7,62","8,31","2,03","0,14","1,55","0,87","1,61","4,85","6,47","2,85","1,82","18,47","2,00"
"1,14","1,09","7,95","1,99","1,32","2,81","6,82","6,05","7,10","5,76","6,90","35,44","2,00"
"1,31","0,92","7,60","0,46","2,06","7,85","1,09","2,97","2,29","0,08","5,74","20,02","2,00"
"1,15","2,33","2,30","1,18","8,39","6,20","2,75","5,98","0,45","2,02","4,68","22,08","2,00"
"1,36","1,87","1,82","7,68","0,57","4,90","1,53","7,60","1,76","5,81","2,93","24,53","2,00"
"8,06","7,65","0,49","1,74","0,28","8,98","2,33","1,85","7,67","1,21","7,03","29,07","2,00"
"0,92","0,95","8,17","2,44","1,56","6,48","2,43","8,16","8,38","0,81","8,48","34,74","2,00"
"8,16","8,53","1,27","0,76","1,29","7,41","8,28","5,29","4,40","6,37","4,25","36,00","2,00"
"8,33","7,59","1,93","1,90","0,15","5,64","4,23","1,72","6,08","1,98","6,93","26,58","2,00"
"1,21","1,80","0,68","8,06","0,93","0,07","1,30","4,07","8,50","7,55","1,19","22,68","2,00"
"2,00","1,18","7,71","0,39","0,45","7,63","6,48","6,96","8,05","5,60","2,63","37,35","2,00"
"0,68","2,56","2,21","0,52","8,90","2,86","7,67","4,45","0,56","4,64","7,36","27,54","2,00"
"7,55","8,22","2,06","1,38","1,29","7,92","8,04","5,89","5,19","2,80","3,60","33,44","2,00"
"1,18","0,75","7,55","0,65","1,18","3,82","6,77","5,30","2,92","0,13","8,25","27,19","2,00"
"8,10","8,38","1,57","1,79","1,25","2,83","3,85","0,63","8,39","8,64","0,28","24,62","2,00"
"7,68","8,39","2,29","0,80","2,26","2,13","8,93","0,34","3,96","4,90","3,47","23,73","2,00"
"0,21","1,00","2,50","0,87","8,14","8,60","2,03","7,47","3,52","8,69","0,33","30,64","2,00"
"1,39","0,19","7,74","1,24","2,42","7,66","5,15","2,57","8,77","6,06","0,63","30,84","2,00"
"2,23","1,22","8,37","2,03","2,02","6,79","1,75","4,25","5,99","2,75","4,54","26,07","2,00"
"0,06","2,36","8,85","0,20","1,47","4,96","3,88","5,67","3,90","7,93","5,58","31,92","2,00"
"2,11","0,93","0,97","8,64","0,73","2,57","6,23","2,74","6,91","3,45","5,37","27,27","2,00"
"2,39","2,89","1,62","1,02","8,67","7,83","0,19","2,07","6,45","3,69","7,73","27,96","2,00"
"1,75","2,25","8,53","2,24","0,49","2,02","0,62","7,71","2,83","2,30","6,58","22,06","2,00"
"7,95","8,78","0,44","1,30","0,51","1,23","1,60","0,60","3,32","1,28","4,99","13,02","2,00"
"0,76","0,53","0,80","8,90","2,15","7,48","7,97","2,43","7,89","0,63","1,31","27,71","2,00"
"2,54","2,49","1,68","1,94","8,14","4,61","2,10","3,29","8,11","3,47","5,39","26,97","2,00"
"1,53","0,51","9,00","0,68","1,69","2,29","8,53","4,27","0,47","4,92","3,13","23,61","2,00"
"2,02","1,13","0,83","0,54","8,91","7,86","2,64","1,35","7,64","1,97","4,88","26,34","2,00"
"1,34","2,30","1,68","1,99","8,36","0,44","1,97","1,87","7,91","3,82","8,92","24,93","2,00"
"1,26","0,33","8,64","0,70","1,80","2,55","8,10","2,80","1,68","6,05","7,24","28,42","2,00"
"1,32","0,58","7,74","2,69","0,11","2,75","8,40","9,00","7,80","5,28","4,88","38,11","2,00"
"8,43","7,69","0,00","1,77","0,54","4,72","6,59","3,68","0,96","3,31","0,13","19,39","2,00"
"1,12","1,82","1,92","8,05","1,90","7,11","1,64","2,38","1,36","1,85","3,31","17,65","2,00"
"2,13","2,22","1,82","8,21","1,61","8,69","1,62","5,51","8,06","4,33","0,29","28,50","2,00"
"2,50","2,19","0,95","8,02","1,11","5,31","1,89","4,61","5,59","6,38","1,35","25,13","2,00"
"1,61","1,99","7,66","0,50","2,06","3,86","5,80","6,80","8,49","6,60","1,68","33,23","2,00"
"7,53","7,59","1,49","2,28","0,21","6,23","5,19","3,86","1,70","2,38","0,73","20,09","2,00"
"1,32","1,43","0,82","0,42","8,08","7,33","5,41","0,83","7,18","1,10","7,53","29,38","2,00"
"0,99","1,34","0,40","8,05","0,86","3,48","3,92","7,48","7,76","6,95","3,17","32,76","2,00"
"1,46","0,30","2,68","7,54","0,74","5,91","7,32","7,85","0,74","7,72","3,05","32,59","2,00"
"8,50","8,45","1,84","0,80","0,99","7,75","3,57","2,18","4,10","2,05","0,77","20,42","2,00"
"1,58","0,10","8,91","0,61","0,62","0,02","6,45","6,27","2,82","6,05","7,91","29,52","2,00"
"1,81","2,02","7,94","1,00","1,16","2,34","5,38","7,23","8,19","2,63","0,89","26,66","2,00"
"7,65","7,73","2,10","1,14","0,85","8,30","0,68","1,79","1,61","8,07","1,92","22,37","2,00"
"2,39","2,69","2,44","0,21","8,27","0,20","6,66","1,31","5,11","4,48","8,61","26,37","2,00"
"8,16","7,61","1,49","1,04","2,82","5,97","6,79","0,20","0,69","1,96","1,16","16,77","2,00"
"1,05","0,05","1,14","1,67","7,82","5,83","0,84","5,72","2,95","8,75","8,14","32,23","2,00"
"7,90","8,06","2,39","0,30","1,62","3,89","3,01","0,77","6,17","0,61","3,36","17,81","2,00"
"8,46","7,58","0,28","0,96","1,96","0,50","1,45","0,01","1,75","3,28","6,78","13,77","2,00"
"7,80","8,12","1,86","1,10","1,46","4,74","8,24","0,93","6,01","8,74","3,53","32,19","2,00"
"0,97","1,74","7,92","1,73","2,20","4,61","6,92","6,45","3,13","1,51","8,95","31,57","2,00"
"1,02","0,96","8,32","1,43","0,56","3,12","8,99","8,43","2,25","4,99","7,13","34,91","2,00"
"0,64","2,07","0,58","8,67","1,30","3,69","2,17","3,70","0,62","8,53","8,16","26,87","2,00"
"8,26","7,71","1,75","1,32","1,42","2,00","3,69","5,13","2,46","7,52","8,13","28,93","2,00"
"0,98","0,47","8,28","1,37","1,79","0,39","6,11","5,71","4,81","6,57","8,05","31,64","2,00"
"8,60","8,17","1,53","0,99","2,16","3,01","4,76","1,00","5,12","8,73","0,52","23,14","2,00"
"1,05","0,54","2,17","8,81","2,21","4,81","0,06","7,04","4,74","6,73","3,87","27,25","2,00"
"2,36","0,28","1,80","2,12","8,54","2,98","2,41","3,23","4,44","3,43","3,67","20,16","2,00"
"1,44","0,71","8,41","0,24","1,45","0,92","7,93","4,53","0,66","3,01","8,75","25,80","2,00"
"8,18","8,11","0,53","0,87","0,07","3,32","2,74","3,21","4,97","6,69","1,44","22,37","2,00"
"1,64","2,07","8,68","2,58","2,42","0,97","0,57","8,66","3,35","6,78","6,60","26,93","2,00"
"1,86","1,81","2,51","8,40","2,34","2,76","7,53","0,99","8,05","5,21","1,14","25,68","2,00"
"1,37","1,29","0,58","8,55","0,41","0,88","3,63","2,59","8,02","4,27","1,90","21,29","2,00"
"2,33","0,95","1,36","8,10","1,25","5,77","5,03","1,84","2,34","5,65","2,92","23,55","2,00"
"8,81","8,26","0,46","0,66","0,08","4,18","1,58","0,71","7,72","1,79","6,43","22,41","2,00"
"2,46","0,58","8,40","0,35","1,45","4,88","2,20","5,57","4,37","7,78","8,56","33,36","2,00"
"7,74","8,13","0,64","1,75","0,15","0,54","4,91","2,88","1,89","2,55","4,90","17,67","2,00"
"2,22","1,93","2,34","8,15","0,43","3,19","0,31","7,64","5,58","8,35","1,96","27,03","2,00"
"0,18","1,50","8,54","0,44","1,85","2,06","2,98","2,69","6,95","4,33","8,03","27,04","2,00"
"0,47","2,20","1,54","7,87","2,39","3,81","8,64","7,62","2,24","6,31","1,98","30,60","2,00"
"8,31","8,32","2,20","0,54","0,63","5,06","2,13","2,26","3,48","8,20","0,97","22,10","2,00"
"1,87","0,23","7,72","0,25","1,82","2,12","0,26","4,67","1,27","1,41","0,71","10,44","2,00"
"2,42","2,50","8,05","2,98","0,17","0,88","7,03","8,64","7,74","5,92","6,17","36,38","2,00"
"8,95","8,35","0,15","0,05","2,00","1,06","6,04","0,82","2,93","5,94","2,09","18,88","2,00"
"7,84","7,82","2,41","2,33","2,60","0,02","7,90","6,67","5,36","5,13","3,60","28,68","2,00"
"2,36","2,12","1,28","8,01","2,36","2,04","7,67","7,84","3,82","6,15","2,28","29,80","2,00"
"2,28","0,41","7,55","0,05","1,91","8,07","6,54","0,71","2,07","0,37","7,29","25,05","2,00"
"0,40","0,37","1,41","8,92","1,85","4,61","1,22","6,74","8,41","5,03","2,85","28,86","2,00"
"0,68","0,77","7,50","2,15","1,89","3,72","1,61","4,98","3,36","7,14","7,04","27,85","2,00"
"0,30","1,86","2,04","8,99","0,78","7,16","6,99","7,03","1,23","1,00","8,14","31,55","2,00"
"1,54","0,25","8,73","1,31","1,22","3,39","5,99","2,33","1,70","8,84","5,94","28,19","2,00"
"8,36","8,38","2,32","1,20","1,29","0,28","4,44","1,02","3,66","2,33","2,45","14,18","2,00"
"2,19","1,69","2,08","0,05","8,93","7,63","5,22","2,83","3,42","6,79","7,82","33,71","2,00"
"2,24","0,35","2,19","8,95","0,95","2,32","7,54","8,72","0,56","2,79","2,28","24,21","2,00"
"7,65","8,27","0,85","1,41","0,89","6,23","5,60","2,61","4,47","4,82","4,36","28,09","2,00"
"0,38","2,21","7,81","0,00","1,85","2,58","7,44","0,18","8,79","7,25","3,45","29,69","2,00"
"0,89","0,86","1,10","7,65","1,10","7,88","7,77","5,53","7,07","3,41","4,76","36,42","2,00"
"1,63","1,18","0,50","0,26","7,67","5,30","4,54","5,21","0,77","5,17","2,09","23,08","2,00"
"1,42","0,37","7,88","1,32","1,49","8,08","6,18","0,32","2,47","6,31","6,84","30,20","2,00"
"1,71","1,67","2,75","7,84","2,43","6,90","2,13","7,88","7,28","4,97","5,00","34,16","2,00"
"8,80","8,06","0,00","0,57","2,00","6,92","6,42","0,39","2,92","4,51","7,06","28,22","2,00"
"8,51","8,28","0,55","0,23","0,84","7,00","7,06","1,95","0,06","4,43","8,01","28,51","2,00"
"1,23","0,32","1,22","8,88","1,10","5,15","8,07","7,25","1,55","0,13","1,05","23,20","2,00"
"0,27","1,42","2,17","2,02","8,61","2,31","6,35","1,57","4,40","8,95","0,43","24,01","2,00"
"0,88","2,95","0,90","0,35","8,92","1,68","3,76","5,65","8,25","4,20","7,71","31,25","2,00"
"0,58","2,39","8,41","2,33","1,82","1,66","5,13","4,21","5,36","7,61","5,00","28,97","2,00"
"0,62","0,96","2,88","7,54","1,41","1,51","6,60","6,58","7,79","7,32","2,68","32,48","2,00"
"0,86","0,48","0,58","0,39","8,99","3,27","0,71","3,40","6,53","3,31","1,86","19,08","2,00"
"0,38","1,27","0,13","0,45","8,43","4,09","0,74","2,85","5,67","4,63","1,15","19,13","2,00"
"2,96","2,18","1,40","1,63","7,84","4,10","8,16","1,28","6,47","2,80","8,20","31,01","2,00"
"0,84","0,26","0,17","1,01","7,78","5,83","0,52","8,51","1,94","0,92","8,12","25,84","2,00"
"1,12","0,96","0,69","7,66","0,33","1,82","8,92","8,45","3,94","7,91","8,23","39,27","2,00"
"8,25","7,98","1,21","0,95","2,58","5,31","8,56","8,25","0,91","2,81","4,13","29,97","2,00"
"0,31","0,28","0,74","8,40","0,89","6,22","2,41","7,66","7,34","1,22","0,28","25,13","2,00"
"1,64","1,01","1,46","7,65","1,59","0,19","3,65","7,80","1,36","5,77","4,15","22,92","2,00"
"1,39","0,50","1,20","1,92","8,11","0,03","3,59","0,24","6,15","1,12","8,64","19,77","2,00"
"2,07","0,77","2,91","8,83","0,54","4,07","0,32","8,85","1,25","5,09","5,86","25,44","2,00"
"8,55","7,67","1,69","2,20","2,81","4,94","1,11","5,71","5,51","5,59","6,98","29,84","2,00"
"1,27","1,09","0,90","2,41","8,53","3,30","5,01","1,47","1,96","0,34","8,25","20,33","2,00"
"1,66","1,02","0,96","0,22","8,69","6,12","2,27","5,10","8,62","3,14","8,54","33,79","2,00"
"1,68","0,18","8,02","0,54","0,42","8,35","8,98","1,68","6,96","1,63","5,17","32,77","2,00"
"1,95","2,62","0,06","1,66","7,89","6,35","6,81","1,31","8,23","7,99","7,24","37,93","2,00"
"2,09","1,94","0,68","8,02","2,41","5,10","7,83","8,61","2,81","2,92","2,95","30,22","2,00"
